rank,disease_name,gene_name,hybrid_score,is_known_link,top_metapath,total_path_evidence,gnn_score,path_score,empirical_confidence,score_quantile_train,count_DpSpDaG,count_DaGpPWpG,count_DaGiG,contrib_DpSpDaG,contrib_DaGpPWpG,contrib_DaGiG
86,Parkinson's disease,PTK2B,0.9959,False,DpSpDaG,292,12.3653,0.9796,0.9948,0.9948,35,229,28,4.1275,0.5225,1.3965
87,systemic scleroderma,NOS3,0.9959,True,DpSpDaG,251,5.2736,0.9997,0.9947,0.9947,69,170,12,9.5104,0.3682,0.5625
88,prostate cancer,KRAS,0.9958,True,DpSpDaG,1335,5.2411,1.0,0.9947,0.9947,92,1227,16,13.1518,3.1326,0.771
89,uterine fibroid,ESR1,0.9958,True,DpSpDaG,159,5.3978,0.9969,0.9947,0.9947,51,85,23,6.6606,0.1459,1.1359
90,rheumatoid arthritis,IL6,0.9958,True,DpSpDaG,1414,5.2371,1.0,0.9947,0.9947,174,1233,7,26.1341,3.1483,0.3018
91,breast cancer,MMP1,0.9955,True,DpSpDaG,499,5.1809,1.0,0.9944,0.9944,86,368,45,12.2018,0.8861,2.2826
92,anemia,IL1B,0.9954,True,DpSpDaG,294,5.1585,1.0,0.9943,0.9943,158,132,4,23.601,0.2689,0.1455
93,prostate cancer,MMP2,0.9954,True,DpSpDaG,333,5.1582,0.9999,0.9943,0.9943,76,244,13,10.6186,0.5618,0.6146
94,lung cancer,HIF1A,0.9954,True,DpSpDaG,392,5.1453,1.0,0.9943,0.9943,105,270,17,15.2099,0.6298,0.8231
95,psoriasis,CCND1,0.9953,True,DpSpDaG,397,5.1368,1.0,0.9942,0.9942,93,284,20,13.3101,0.6664,0.9795
96,kidney cancer,CDKN2A,0.9953,True,DpSpDaG,389,5.1318,1.0,0.9942,0.9942,169,209,11,25.3425,0.4702,0.5104
97,Parkinson's disease,HMOX1,0.9953,True,DpSpDaG,192,7.096,0.9798,0.9942,0.9942,38,130,24,4.6024,0.2636,1.188
98,hypertension,CDKN2A,0.9953,True,DpSpDaG,257,5.1973,0.9985,0.9942,0.9942,59,191,7,7.9272,0.4232,0.3018
99,colon cancer,FAS,0.9952,False,DpSpDaG,239,5.5292,0.992,0.9941,0.9941,41,167,31,5.0774,0.3604,1.5529
100,hematologic cancer,MAP2K1,0.9952,True,DaGpPWpG,2860,5.1305,0.9994,0.9941,0.9941,18,2826,16,1.436,7.3145,0.771
